"","Toronto Raptors","Los Angeles Clippers","Charlotte Hornets","Indiana Pacers","Orlando Magic","Brooklyn Nets","Miami Heat","Philadelphia 76ers","Dallas Mavericks","San Antonio Spurs","Utah Jazz","Phoenix Suns","Portland Trail Blazers","Detroit Pistons","Houston Rockets","Golden State Warriors","Boston Celtics","Memphis Grizzlies","New Orleans Pelicans","Oklahoma City Thunder","Denver Nuggets","Sacramento Kings","Los Angeles Lakers","Milwaukee Bucks","Atlanta Hawks","New York Knicks","Chicago Bulls","Cleveland Cavaliers","Minnesota Timberwolves","Washington Wizards"
"1",1587.62822724457,1509.84301069384,1455.03305685721,1558.03286316584,1394.93506066721,1409.67479096313,1491.03027128336,1572.73698738124,1374.29321328834,1540.71723621326,1597.47975545812,1355.28563212936,1554.16133460198,1482.54234266338,1657.20095922123,1675.46895778572,1592.5344766328,1357.71680456893,1590.96954493955,1548.98641708054,1563.8832389748,1415.81973370674,1459.6747362914,1526.79421087161,1398.36239455535,1405.84434862173,1396.49211845293,1574.00664546462,1514.51482106923,1488.30122972848
"2",1597.76943106759,1520.96490572072,1463.32034533218,1547.13615755239,1386.64777219224,1419.56454643684,1501.24571388426,1578.18212420383,1388.40686506511,1531.10399545508,1589.6875082681,1350.65891784127,1563.77457536016,1490.11504775369,1662.05819853572,1683.26120497574,1582.39327280978,1368.88137075786,1596.31602031029,1537.86452205366,1568.50995326289,1410.473258336,1454.81749697691,1537.69091648506,1387.19782836642,1395.95459314802,1388.91941336262,1562.31087422345,1526.2105923104,1481.35169748082
"3",1604.71896331525,1534.81646065903,1474.40761018973,1553.6209258956,1381.66256283944,1413.07977809363,1490.15844902671,1583.16733355663,1398.42161738027,1538.94291179981,1574.06901742395,1347.91481082512,1551.44577870423,1502.73105549936,1648.20664359741,1670.07347564908,1587.48906927826,1384.49986160201,1604.56417912633,1524.35384062066,1581.69768258955,1423.98393976901,1446.97858063218,1543.69958984889,1401.85052391696,1390.85879667954,1378.90466104745,1547.65817867291,1512.09694053364,1493.68049413676
"4",1611.13481215082,1526.568301843,1467.99176135417,1542.43142773079,1396.97887499436,1426.77049326475,1497.21696357503,1570.55132581096,1388.52030603963,1529.04331598543,1586.17106194966,1340.69125984806,1557.27134793553,1513.62769703627,1636.10459907169,1672.81758266523,1572.17275712334,1375.46780367841,1609.85124817375,1515.72155431917,1587.44638711757,1418.23523524099,1454.20213160925,1554.470909836,1411.7518352576,1384.8501233157,1391.41403814782,1533.96746350179,1523.28643869844,1488.42344802987
"5",1618.65887316331,1539.62054706535,1455.4823842538,1552.33102354517,1391.15330576307,1421.48342421733,1508.92845664576,1559.78000582385,1384.31983708817,1537.3002887807,1596.85157906888,1331.68887974704,1545.5598548648,1505.53747657568,1623.05235384934,1678.07462877211,1580.80504342482,1384.47018377942,1599.17073105454,1520.87012400551,1573.78888806022,1427.2672931646,1467.8596306666,1563.36137568402,1400.93296305169,1377.79160876738,1383.23745189652,1523.07082196488,1515.76237768595,1476.68118915195
"6",1622.85934211477,1547.82856632043,1463.6589705051,1561.49083268865,1385.74023502872,1417.81822704171,1496.94276268714,1567.08190874496,1379.7731728319,1543.05339503827,1601.39824332514,1326.5403100607,1556.01806418192,1497.89170674236,1611.14654194915,1681.09004553475,1588.89526388541,1396.84194733397,1588.44147976635,1531.64449690396,1584.51813934841,1439.00955204252,1459.60265787133,1568.77444641837,1395.38109316178,1374.77619200475,1394.05632410244,1513.9110128214,1506.87191183792,1468.47316989687
"7",1611.31510728281,1537.05419342198,1456.35706758399,1551.03262337153,1377.59664746138,1406.58567675889,1485.77989706569,1572.63377863487,1374.02006657434,1547.52004897125,1588.97559991925,1322.07365612772,1567.92387608211,1485.32258189897,1616.12190378812,1684.75524271037,1596.54103371873,1411.86963820182,1581.22880109387,1539.81951892732,1589.45852392147,1450.99524600114,1450.95484360917,1580.31868125033,1388.66618824002,1386.00874228756,1390.89688949129,1520.62591774316,1515.51972610008,1456.10140634232
"8",1620.20634647829,1527.82083847745,1467.51993320544,1556.61050555064,1371.66973117154,1419.15480160228,1472.84355558235,1563.74253943939,1366.19893057006,1558.19041809148,1573.9479090514,1319.02640406997,1578.30663552227,1477.79325002073,1620.21874209092,1687.91467732152,1606.07445589655,1399.25923655611,1570.84604165371,1547.45549496228,1597.50288188522,1459.13883356848,1458.77597961345,1570.78525907251,1380.66718685149,1380.43086010845,1385.95650491823,1512.58155977941,1527.94236950597,1448.46543030736
"9",1623.25359853604,1533.74775476729,1459.34491118208,1562.0589672759,1386.5757271593,1414.17943976331,1482.9860096029,1572.97589438392,1356.60832947206,1543.28442210372,1564.62483884165,1331.63680571567,1564.99586973153,1467.65079600018,1628.87700164138,1695.12735599399,1594.81432261266,1396.26019107621,1560.17567253349,1557.82144760869,1606.82595209497,1467.13783495701,1472.08674540419,1577.88750315522,1393.60352833484,1390.02146120645,1380.50804319297,1501.06116619927,1522.41438743631,1456.79896638159
"10",1629.15790906769,1543.16947684317,1470.86530476222,1573.31910055978,1399.7565815422,1428.63165175833,1494.70431980883,1580.50522626217,1369.41468508376,1531.56611189778,1556.46118054013,1324.35820635347,1573.77637596868,1475.72114374128,1617.08216546553,1700.65533806365,1585.15990742535,1411.86712961288,1549.80971988708,1565.83513902258,1616.48036728229,1460.0355908743,1466.18243487253,1567.76918092526,1385.79135546863,1381.68792513222,1376.41120489017,1487.88031181637,1513.63388119916,1443.99261076989
"11",1637.32156736921,1534.33630386267,1478.67747762843,1564.66084100933,1391.6862338011,1435.91025112053,1486.41419813091,1566.05301426715,1364.33216395488,1543.97893258885,1561.54370166901,1320.71355799495,1583.89469819864,1482.91083191648,1604.66934477447,1703.65438354356,1588.80455578386,1426.43602400345,1555.42884481215,1577.62997519842,1600.87342874561,1454.73714676022,1477.27266772463,1581.49234031117,1375.38128518714,1371.53606059148,1386.56306943091,1479.86662040248,1504.21215912328,1432.49838421083
"12",1642.62001148328,1545.68529037912,1471.40795362227,1554.70091076225,1403.18046036016,1450.33096331126,1474.87471416924,1576.01294451422,1379.8009731171,1531.50396436947,1572.32672589893,1316.59984350509,1592.72787117915,1472.57987338175,1613.47546780251,1689.93122415765,1578.02153155394,1420.40454645606,1559.54255930201,1562.16116603621,1586.45271655488,1465.83747632823,1486.94365525403,1570.14335379472,1368.19159701194,1381.94613087297,1380.94394450584,1467.0939197614,1493.12192627118,1444.03786817249
"13",1646.26685336957,1559.711316352,1481.738912157,1562.99103244018,1412.46554442011,1446.30837362115,1467.51179949165,1583.28246852038,1390.20128431681,1515.92476723381,1578.35820344632,1312.68639482858,1602.30484131386,1486.91399268034,1622.40053540183,1693.95381384777,1568.44456141923,1434.71447467443,1571.98810380708,1566.07461471271,1575.9836398563,1456.16648879883,1493.65285770638,1580.6124304933,1361.48239455959,1378.29928898668,1393.71664514692,1477.51518705816,1482.02159670317,1453.13163676837
"14",1633.8213088645,1568.45766837867,1471.31764486023,1554.18490941214,1403.37177582423,1437.33267775846,1476.64535258935,1568.71357412982,1405.14295706873,1507.17841520713,1563.41653069441,1328.26559196424,1589.2756953643,1496.3361279208,1634.11845964772,1679.92778787489,1573.56905708501,1445.68787973035,1559.69832719257,1570.94172207602,1567.05857225697,1468.64145701821,1506.68200365593,1566.30250227493,1358.72505204016,1369.01420492673,1383.31633394721,1466.81452204977,1490.99729256586,1463.83230177675
"15",1619.48718956591,1574.90050915136,1464.12468415943,1561.9894711443,1417.96998466377,1428.19912466076,1468.8407908572,1576.07648880741,1421.58369016527,1521.18221863975,1553.36074393277,1324.29960042668,1576.85006900311,1490.23675130286,1639.4356584599,1682.68513039433,1584.88304556522,1457.67650168463,1564.59749919204,1574.90771361358,1571.69069519437,1457.66805196229,1494.182745198,1571.36183580657,1354.09292910276,1364.14709756342,1378.19183828143,1457.39238680931,1503.28706918037,1452.81027742872
"16",1608.1732010857,1579.19126368651,1477.18520786103,1566.63055334868,1430.4692431217,1439.22114900879,1459.56890015371,1561.47827996787,1412.61880389252,1512.71337253098,1564.26554738998,1320.5443110274,1583.42424646819,1504.43092151369,1645.53503507784,1670.96720614844,1573.97824210802,1466.64138795738,1574.80162942405,1561.51961891155,1561.48656496237,1452.35085315011,1503.45463590149,1581.07767918145,1349.45184689837,1359.24792556395,1373.13250474979,1448.71045145851,1515.71269554156,1446.23609996364
