"","game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks","home_team_wins"
"1","201910220TOR",2019-10-22,"8:00p","New Orleans Pelicans",122,"Toronto Raptors",130,"OT",20787,"",1
"2","201910220LAC",2019-10-22,"10:30p","Los Angeles Lakers",102,"Los Angeles Clippers",112,"",19068,"",1
"3","201910230CHO",2019-10-23,"7:00p","Chicago Bulls",125,"Charlotte Hornets",126,"",15424,"",1
"4","201910230IND",2019-10-23,"7:00p","Detroit Pistons",119,"Indiana Pacers",110,"",17923,"",0
"5","201910230ORL",2019-10-23,"7:00p","Cleveland Cavaliers",85,"Orlando Magic",94,"",18846,"",1
"6","201910230BRK",2019-10-23,"7:30p","Minnesota Timberwolves",127,"Brooklyn Nets",126,"OT",17732,"",0
"7","201910230MIA",2019-10-23,"7:30p","Memphis Grizzlies",101,"Miami Heat",120,"",19600,"",1
"8","201910230PHI",2019-10-23,"7:30p","Boston Celtics",93,"Philadelphia 76ers",107,"",20422,"",1
"9","201910230DAL",2019-10-23,"8:30p","Washington Wizards",100,"Dallas Mavericks",108,"",19816,"",1
"10","201910230SAS",2019-10-23,"8:30p","New York Knicks",111,"San Antonio Spurs",120,"",18354,"",1
"11","201910230UTA",2019-10-23,"9:00p","Oklahoma City Thunder",95,"Utah Jazz",100,"",18306,"",1
"12","201910230PHO",2019-10-23,"10:00p","Sacramento Kings",95,"Phoenix Suns",124,"",18055,"",1
"13","201910230POR",2019-10-23,"10:00p","Denver Nuggets",108,"Portland Trail Blazers",100,"",19991,"",0
"14","201910240DET",2019-10-24,"7:00p","Atlanta Hawks",117,"Detroit Pistons",100,"",20338,"",0
"15","201910240HOU",2019-10-24,"8:00p","Milwaukee Bucks",117,"Houston Rockets",111,"",18055,"",0
"16","201910240GSW",2019-10-24,"10:30p","Los Angeles Clippers",141,"Golden State Warriors",122,"",18064,"",0
"17","201910250BOS",2019-10-25,"7:00p","Toronto Raptors",106,"Boston Celtics",112,"",18624,"",1
"18","201910250CHO",2019-10-25,"7:00p","Minnesota Timberwolves",121,"Charlotte Hornets",99,"",14879,"",0
"19","201910250BRK",2019-10-25,"7:30p","New York Knicks",109,"Brooklyn Nets",113,"",17732,"",1
"20","201910250MEM",2019-10-25,"8:00p","Chicago Bulls",110,"Memphis Grizzlies",102,"",17794,"",0
"21","201910250NOP",2019-10-25,"8:00p","Dallas Mavericks",123,"New Orleans Pelicans",116,"",17027,"",0
"22","201910250OKC",2019-10-25,"8:00p","Washington Wizards",97,"Oklahoma City Thunder",85,"",18203,"",0
"23","201910250DEN",2019-10-25,"9:00p","Phoenix Suns",107,"Denver Nuggets",108,"OT",19557,"",1
"24","201910250SAC",2019-10-25,"10:00p","Portland Trail Blazers",122,"Sacramento Kings",112,"",17583,"",0
"25","201910250LAL",2019-10-25,"10:30p","Utah Jazz",86,"Los Angeles Lakers",95,"",18997,"",1
"26","201910260MIL",2019-10-26,"5:00p","Miami Heat",131,"Milwaukee Bucks",126,"OT",17467,"",0
"27","201910260DET",2019-10-26,"7:00p","Philadelphia 76ers",117,"Detroit Pistons",111,"",16207,"",0
"28","201910260ATL",2019-10-26,"7:30p","Orlando Magic",99,"Atlanta Hawks",103,"",17078,"",1
"29","201910260NYK",2019-10-26,"7:30p","Boston Celtics",118,"New York Knicks",95,"",19812,"",0
"30","201910260CHI",2019-10-26,"8:00p","Toronto Raptors",108,"Chicago Bulls",84,"",21498,"",0
"31","201910260CLE",2019-10-26,"8:00p","Indiana Pacers",99,"Cleveland Cavaliers",110,"",19432,"",1
"32","201910260HOU",2019-10-26,"8:00p","New Orleans Pelicans",123,"Houston Rockets",126,"",18055,"",1
"33","201910260SAS",2019-10-26,"8:30p","Washington Wizards",122,"San Antonio Spurs",124,"",18354,"",1
"34","201910260UTA",2019-10-26,"9:00p","Sacramento Kings",81,"Utah Jazz",113,"",18306,"",1
"35","201910260PHO",2019-10-26,"10:00p","Los Angeles Clippers",122,"Phoenix Suns",130,"",15802,"",1
"36","201910270OKC",2019-10-27,"3:30p","Golden State Warriors",92,"Oklahoma City Thunder",120,"",18203,"",1
"37","201910270MEM",2019-10-27,"6:00p","Brooklyn Nets",133,"Memphis Grizzlies",134,"OT",15517,"",1
"38","201910270DAL",2019-10-27,"7:00p","Portland Trail Blazers",121,"Dallas Mavericks",119,"",19707,"",0
"39","201910270MIN",2019-10-27,"7:00p","Miami Heat",109,"Minnesota Timberwolves",116,"",17049,"",1
"40","201910270LAL",2019-10-27,"9:30p","Charlotte Hornets",101,"Los Angeles Lakers",120,"",18997,"",1
"41","201910280NYK",2019-10-28,"7:00p","Chicago Bulls",98,"New York Knicks",105,"",19812,"",1
"42","201910280DET",2019-10-28,"7:00p","Indiana Pacers",94,"Detroit Pistons",96,"",13565,"",1
"43","201910280TOR",2019-10-28,"7:30p","Orlando Magic",95,"Toronto Raptors",104,"",19800,"",1
"44","201910280ATL",2019-10-28,"7:30p","Philadelphia 76ers",105,"Atlanta Hawks",103,"",14094,"",0
"45","201910280HOU",2019-10-28,"8:00p","Oklahoma City Thunder",112,"Houston Rockets",116,"",18055,"",1
"46","201910280MIL",2019-10-28,"8:00p","Cleveland Cavaliers",112,"Milwaukee Bucks",129,"",17385,"",1
"47","201910280NOP",2019-10-28,"8:00p","Golden State Warriors",134,"New Orleans Pelicans",123,"",17307,"",0
"48","201910280SAS",2019-10-28,"8:30p","Portland Trail Blazers",110,"San Antonio Spurs",113,"",18083,"",1
"49","201910280PHO",2019-10-28,"10:00p","Utah Jazz",96,"Phoenix Suns",95,"",14805,"",0
"50","201910280SAC",2019-10-28,"10:00p","Denver Nuggets",101,"Sacramento Kings",94,"",15870,"",0
"51","201910280LAC",2019-10-28,"10:30p","Charlotte Hornets",96,"Los Angeles Clippers",111,"",19068,"",1
"52","201910290MIA",2019-10-29,"7:30p","Atlanta Hawks",97,"Miami Heat",112,"",19600,"",1
"53","201910290DEN",2019-10-29,"9:00p","Dallas Mavericks",109,"Denver Nuggets",106,"",16605,"",0
"54","201910290LAL",2019-10-29,"10:30p","Memphis Grizzlies",91,"Los Angeles Lakers",120,"",18997,"",1
"55","201910300CLE",2019-10-30,"7:00p","Chicago Bulls",111,"Cleveland Cavaliers",117,"",17595,"",1
"56","201910300ORL",2019-10-30,"7:00p","New York Knicks",83,"Orlando Magic",95,"",17456,"",1
"57","201910300PHI",2019-10-30,"7:00p","Minnesota Timberwolves",95,"Philadelphia 76ers",117,"",20204,"",1
"58","201910300BOS",2019-10-30,"7:30p","Milwaukee Bucks",105,"Boston Celtics",116,"",18624,"",1
"59","201910300BRK",2019-10-30,"7:30p","Indiana Pacers",118,"Brooklyn Nets",108,"",17083,"",0
"60","201910300TOR",2019-10-30,"7:30p","Detroit Pistons",113,"Toronto Raptors",125,"",19800,"",1
"61","201910300OKC",2019-10-30,"8:00p","Portland Trail Blazers",102,"Oklahoma City Thunder",99,"",18203,"",0
"62","201910300WAS",2019-10-30,"8:00p","Houston Rockets",159,"Washington Wizards",158,"",20476,"",0
"63","201910300SAC",2019-10-30,"10:00p","Charlotte Hornets",118,"Sacramento Kings",111,"",15416,"",0
"64","201910300UTA",2019-10-30,"10:00p","Los Angeles Clippers",96,"Utah Jazz",110,"",18306,"",1
"65","201910300GSW",2019-10-30,"10:30p","Phoenix Suns",121,"Golden State Warriors",110,"",18064,"",0
"66","201910310ATL",2019-10-31,"7:00p","Miami Heat",106,"Atlanta Hawks",97,"",16539,"",0
"67","201910310NOP",2019-10-31,"9:30p","Denver Nuggets",107,"New Orleans Pelicans",122,"",16613,"",1
"68","201910310LAC",2019-10-31,"10:30p","San Antonio Spurs",97,"Los Angeles Clippers",103,"",19068,"",1
"69","201911010BRK",2019-11-01,"7:00p","Houston Rockets",116,"Brooklyn Nets",123,"",17732,"",1
"70","201911010IND",2019-11-01,"7:00p","Cleveland Cavaliers",95,"Indiana Pacers",102,"",16079,"",1
"71","201911010ORL",2019-11-01,"7:00p","Milwaukee Bucks",123,"Orlando Magic",91,"",15105,"",0
"72","201911010BOS",2019-11-01,"7:30p","New York Knicks",102,"Boston Celtics",104,"",18624,"",1
"73","201911010CHI",2019-11-01,"8:00p","Detroit Pistons",106,"Chicago Bulls",112,"",20671,"",1
"74","201911010DAL",2019-11-01,"9:30p","Los Angeles Lakers",119,"Dallas Mavericks",110,"OT",20358,"",0
"75","201911010SAC",2019-11-01,"10:00p","Utah Jazz",101,"Sacramento Kings",102,"",16273,"",1
"76","201911010GSW",2019-11-01,"10:30p","San Antonio Spurs",127,"Golden State Warriors",110,"",18064,"",0
"77","201911020OKC",2019-11-02,"5:00p","New Orleans Pelicans",104,"Oklahoma City Thunder",115,"",18203,"",1
"78","201911020DET",2019-11-02,"7:00p","Brooklyn Nets",109,"Detroit Pistons",113,"",17222,"",1
"79","201911020ORL",2019-11-02,"7:00p","Denver Nuggets",91,"Orlando Magic",87,"",17025,"",0
"80","201911020MEM",2019-11-02,"8:00p","Phoenix Suns",114,"Memphis Grizzlies",105,"",14144,"",0
"81","201911020MIL",2019-11-02,"8:00p","Toronto Raptors",105,"Milwaukee Bucks",115,"",17637,"",1
"82","201911020WAS",2019-11-02,"8:00p","Minnesota Timberwolves",131,"Washington Wizards",109,"",15150,"",0
