"","game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks","home_team_wins"
"1","201710170CLE",2017-10-17,"8:01p","Boston Celtics",99,"Cleveland Cavaliers",102,"",20562,"",1
"2","201710170GSW",2017-10-17,"10:30p","Houston Rockets",122,"Golden State Warriors",121,"",19596,"",0
"3","201710180DET",2017-10-18,"7:00p","Charlotte Hornets",90,"Detroit Pistons",102,"",20491,"",1
"4","201710180IND",2017-10-18,"7:00p","Brooklyn Nets",131,"Indiana Pacers",140,"",15008,"",1
"5","201710180ORL",2017-10-18,"7:00p","Miami Heat",109,"Orlando Magic",116,"",18846,"",1
"6","201710180WAS",2017-10-18,"7:00p","Philadelphia 76ers",115,"Washington Wizards",120,"",20356,"",1
"7","201710180BOS",2017-10-18,"7:30p","Milwaukee Bucks",108,"Boston Celtics",100,"",18624,"",0
"8","201710180MEM",2017-10-18,"8:00p","New Orleans Pelicans",91,"Memphis Grizzlies",103,"",17794,"",1
"9","201710180DAL",2017-10-18,"8:30p","Atlanta Hawks",117,"Dallas Mavericks",111,"",19709,"",0
"10","201710180UTA",2017-10-18,"9:00p","Denver Nuggets",96,"Utah Jazz",106,"",17588,"",1
"11","201710180SAS",2017-10-18,"9:30p","Minnesota Timberwolves",99,"San Antonio Spurs",107,"",18418,"",1
"12","201710180PHO",2017-10-18,"10:00p","Portland Trail Blazers",124,"Phoenix Suns",76,"",18055,"",0
"13","201710180SAC",2017-10-18,"10:00p","Houston Rockets",105,"Sacramento Kings",100,"",17583,"",0
"14","201710190TOR",2017-10-19,"7:30p","Chicago Bulls",100,"Toronto Raptors",117,"",19800,"",1
"15","201710190OKC",2017-10-19,"8:00p","New York Knicks",84,"Oklahoma City Thunder",105,"",18203,"",1
"16","201710190LAL",2017-10-19,"10:30p","Los Angeles Clippers",108,"Los Angeles Lakers",92,"",18997,"",0
"17","201710200CHO",2017-10-20,"7:00p","Atlanta Hawks",91,"Charlotte Hornets",109,"",18417,"",1
"18","201710200IND",2017-10-20,"7:00p","Portland Trail Blazers",114,"Indiana Pacers",96,"",15325,"",0
"19","201710200MIL",2017-10-20,"7:00p","Cleveland Cavaliers",116,"Milwaukee Bucks",97,"",18717,"",0
"20","201710200PHI",2017-10-20,"7:00p","Boston Celtics",102,"Philadelphia 76ers",92,"",20816,"",0
"21","201710200WAS",2017-10-20,"7:00p","Detroit Pistons",111,"Washington Wizards",115,"",16337,"",1
"22","201710200BRK",2017-10-20,"7:30p","Orlando Magic",121,"Brooklyn Nets",126,"",16144,"",1
"23","201710200MIN",2017-10-20,"8:00p","Utah Jazz",97,"Minnesota Timberwolves",100,"",18978,"",1
