"","Toronto Raptors","Los Angeles Clippers","Charlotte Hornets","Indiana Pacers","Orlando Magic","Brooklyn Nets","Miami Heat","Philadelphia 76ers","Dallas Mavericks","San Antonio Spurs","Utah Jazz","Phoenix Suns","Portland Trail Blazers","Detroit Pistons","Houston Rockets","Golden State Warriors","Boston Celtics","Memphis Grizzlies","New Orleans Pelicans","Oklahoma City Thunder","Denver Nuggets","Sacramento Kings","Los Angeles Lakers","Milwaukee Bucks","Atlanta Hawks","New York Knicks","Chicago Bulls","Cleveland Cavaliers","Minnesota Timberwolves","Washington Wizards"
"1",1654.182193211,1557.71996374588,1504.87088619792,1486.98149648344,1523.39923632503,1491.11011671101,1501.09920893527,1582.18781191803,1442.65356255583,1561.61093283787,1578.28385494552,1370.93565490255,1584.29412357427,1493.91838216565,1609.89509252677,1631.77258558647,1553.96309619946,1429.45474994572,1432.40320874036,1536.35549783126,1594.64999527865,1451.20793258521,1456.51374468218,1631.18942968917,1456.3719280917,1334.82330911169,1369.06365211253,1369.69078029957,1479.62683802206,1415.44976308332
"2",1641.37508298211,1570.15921776929,1494.14557998554,1473.72825659349,1511.49361806896,1496.89252751702,1514.6778117519,1589.39529460905,1452.3586192271,1567.96413556581,1564.91582068777,1366.61115763418,1590.64056603984,1482.51884984686,1614.97433130032,1618.74053657382,1566.77020642834,1417.7338509264,1422.69815206908,1523.00953859544,1598.97449254702,1444.86149011963,1469.88177893992,1617.61082687254,1468.27754634777,1329.04089830568,1380.78455113185,1382.94402018952,1490.35214423444,1428.79572231914
"3",1645.02335576945,1554.89011378442,1483.44834479941,1463.77382186291,1505.15823263326,1484.65277908483,1503.97880458404,1596.04391741345,1446.14104681062,1578.79385985813,1571.59164116243,1381.88026161906,1596.85813845633,1475.31136715584,1622.74076042375,1623.52206698746,1570.82751746942,1429.9735993586,1417.61891329554,1536.04158760808,1604.65095934367,1438.18566964498,1480.57901412605,1621.72545333481,1461.62892354338,1324.98358726461,1377.13627834451,1378.82939372726,1501.0511514023,1422.4425195912
"4",1651.35874120515,1562.86235341771,1475.47610516612,1474.37404419582,1510.6517478091,1474.05255675192,1512.76587823933,1603.3759568014,1460.41109792908,1568.06019975791,1576.61622806889,1376.8556747126,1586.02841416401,1485.26580188642,1627.53955723853,1607.41553101268,1582.28208713215,1421.41992671598,1412.8373828819,1528.27515848465,1590.3809082252,1432.50920284833,1489.13268676867,1610.27088367207,1452.84184988809,1336.47348886525,1365.64637674387,1388.45013798857,1493.71911201435,1417.64372277641
"5",1656.91190423409,1553.25801509082,1484.24568458135,1481.95017110416,1503.44294278594,1488.20367102123,1521.05802744749,1613.11712715436,1451.23589370737,1579.18811728631,1586.22056639578,1392.96221068738,1594.38128485159,1479.71263885747,1613.38844296922,1596.28761348428,1586.0925600478,1410.60267461181,1427.54471102348,1519.92228779707,1575.67358008363,1423.73962343309,1498.30789099038,1617.47968869523,1444.54970067992,1330.97997368941,1356.02563248256,1380.87401108022,1501.56382155516,1409.79901323559
"6",1645.78180200524,1563.99167519104,1497.36318426384,1488.82057389606,1495.49246494541,1477.57394566614,1533.65466947822,1597.72870816073,1459.2379556502,1566.9013569007,1571.85751762891,1403.77946279154,1584.64011449863,1466.29578171559,1600.7918009385,1583.1701138018,1590.62530852483,1405.58842734377,1420.14261889548,1527.32437992507,1583.62405792415,1438.10267219996,1510.59465137599,1628.60979092408,1457.93256607298,1327.16950077376,1369.44248962445,1372.87194913739,1495.06578647217,1421.7073824647
"7",1650.57074711287,1574.21803366278,1507.11735770893,1479.06640045097,1486.40610612136,1485.93583219998,1525.08306874261,1586.69345953892,1470.01832795904,1553.51849150764,1561.63115915717,1419.16788178517,1574.59780472996,1476.92550707068,1605.80604820654,1593.21242357047,1598.26699626609,1418.10832671484,1411.78073236164,1536.41073874913,1592.19565865976,1445.01401219326,1516.57455888993,1635.10782600707,1445.0957526381,1320.25816078046,1362.57208683255,1368.33920066036,1482.5458871011,1413.34347049535
"8",1654.60834608105,1565.95285773436,1499.47566996768,1487.43031242032,1475.62573381252,1498.15519074787,1532.1256359224,1576.85181232188,1455.8118116138,1563.02648837183,1572.66640777898,1412.12531460539,1564.34903449151,1465.01713784158,1615.44373321667,1583.57473856034,1607.25615708152,1409.74885119,1407.74313339346,1526.90274188494,1602.03730587679,1440.22506708564,1527.0218561984,1643.37300193549,1434.95557222193,1314.19920423029,1356.59217931861,1379.62733132191,1495.37445333043,1402.0553398338
"9",1661.09273910222,1576.20162797281,1486.89508315374,1496.95994753185,1483.98520933735,1485.72844700454,1521.67833861393,1584.31899618984,1464.49372684652,1554.0373275564,1584.67386949461,1424.55205834872,1552.12967594362,1471.07609439175,1619.34897267295,1570.74617233101,1613.36376311194,1401.06693595728,1420.32372020739,1538.15800127099,1609.06024821857,1450.3652475018,1520.53746317723,1631.36554021986,1428.20581063224,1328.40572057552,1369.42899275349,1388.16364389318,1488.35151098865,1397.48388918391
"10",1648.69686587069,1588.59750120434,1479.42789928579,1506.58667805143,1474.35847881776,1478.74634488101,1529.70804943036,1589.20531565347,1458.3861208161,1539.89852785491,1593.95031241269,1417.24653547025,1558.87943753331,1461.54645928022,1624.17454803044,1559.49091294496,1617.93521376182,1415.20573565877,1415.4981448499,1530.77817126987,1594.27907437931,1463.39079091173,1527.8429860557,1638.74537022098,1442.9869844715,1319.86940800426,1365.52375329722,1383.27732442955,1497.58152670219,1410.58234762033
"11",1655.82033391706,1579.61792684145,1467.60020585672,1517.28184213839,1487.54867952613,1471.95426680786,1535.72643985802,1576.0151149451,1444.38565004268,1528.6865339574,1600.93241453622,1427.9860526021,1545.85389412339,1452.31644356668,1633.15412239334,1550.21447002689,1625.71720827083,1427.03342908784,1429.89930518545,1520.08300718291,1601.07115245246,1455.51916376054,1538.48600069982,1642.32651930462,1432.24746733965,1311.17593442375,1374.21722687772,1377.25893400189,1508.7935205997,1403.06629567912
"12",1640.38922193061,1565.2167665059,1476.93019546037,1510.49852864896,1498.72721975426,1479.11804087023,1542.77131989511,1564.41902399349,1459.81676202913,1517.50799372927,1586.30714251343,1422.81891614789,1538.73042607702,1444.28673275025,1639.93743588277,1539.57145538276,1611.17608095672,1441.65870111062,1422.85442514836,1531.67909813451,1606.77988426352,1470.06029107465,1546.35762785102,1648.70438311457,1425.89810919731,1325.17640519717,1370.63607779409,1372.17889136734,1495.69506216328,1415.69886987094
"13",1646.14134567222,1571.56612464824,1482.82045613181,1504.12066483901,1506.24327169547,1469.83643454329,1547.96246881587,1569.49906662804,1471.19809763179,1508.1180658673,1573.59403871478,1414.17031412548,1548.120353939,1434.95674314661,1646.00895939432,1531.78946087376,1616.34321741093,1435.94996929955,1435.89096862886,1522.82212177358,1618.10987145434,1478.70889309706,1553.02307879826,1651.94844136271,1419.23265825006,1319.28614452572,1363.47230373172,1360.66816871915,1489.62353865173,1427.16085974098
"14",1652.31912742004,1580.42310100917,1477.0683323902,1513.40227116594,1500.06548994765,1480.04455523906,1553.29844005577,1573.53829482743,1482.77408684664,1496.73673026463,1581.57136736825,1405.16442375316,1540.86555716537,1422.83844925123,1653.26375616795,1518.75291739325,1605.3130212437,1428.28910934607,1448.82367699516,1513.68919242457,1627.74171496521,1468.7473363544,1562.15600814727,1656.09989336922,1415.08120624356,1330.79686717391,1360.22824548358,1355.47701979839,1502.33664245038,1418.35213106153
"15",1656.20630876693,1591.45329717641,1466.86021169443,1523.01859617697,1490.44916493662,1490.00611198173,1544.09462921759,1581.01956048368,1489.26578268591,1484.10415607281,1589.67389761891,1417.67670770545,1527.93284879907,1432.61521494278,1641.93376897713,1526.41377734673,1595.68117773283,1422.17462550402,1457.82956736747,1505.07520063659,1632.33845649827,1477.55606503385,1570.76999993525,1662.56965052968,1405.304440552,1326.75763897452,1372.34653937896,1348.98532395912,1494.35931379692,1413.83481534708
"16",1664.32967486232,1602.89610342962,1455.3982218244,1530.19492623531,1478.68230764551,1495.48818286242,1551.26187818965,1590.22337132186,1503.12057005132,1476.62289041656,1596.05135284606,1413.07996617239,1521.46309163861,1428.41122772007,1630.49096272392,1514.83778813188,1602.40648052192,1414.99829544568,1451.45211214032,1515.1229805613,1636.85577221272,1470.83076224475,1576.8844837773,1666.77363775239,1401.41725920511,1320.82210188127,1367.01056813907,1363.57838033824,1481.84702984463,1423.81308907555
"17",1666.69501200489,1608.79377751492,1442.9077182378,1541.84516539342,1485.32168481085,1501.86400105019,1543.12160542181,1582.10000522647,1496.07164599724,1482.55842750982,1588.05924797416,1403.10169244392,1506.87003525949,1440.17808501119,1616.63617535851,1506.73525788122,1609.59079827388,1410.21095652548,1445.55443805502,1505.07223593643,1622.25250600658,1463.92816977328,1584.23435581442,1674.76574262429,1393.69172878102,1315.34003100057,1379.50107172566,1357.20256215047,1489.57256026872,1418.27229625533
"18",1671.90232560036,1615.842701569,1435.74046926575,1547.74238262797,1480.11437121538,1494.67968329823,1551.97961335188,1589.00259769794,1503.45784592982,1475.20855547269,1576.40900881605,1395.71549251134,1513.35991658267,1430.05036710796,1624.77644812635,1496.68747795651,1596.39893587905,1404.66022031212,1439.34667713677,1513.2027500872,1611.13834031732,1478.53143597943,1590.44211673267,1678.07538207008,1390.38208933523,1312.974693858,1373.01119040248,1350.56318498513,1499.15936636595,1413.21426345214
"19",1679.36989057721,1620.63004048919,1445.86818716897,1539.02050893859,1490.52568334985,1507.87154569307,1560.71685782995,1592.39324714829,1516.05971187661,1465.62174937546,1581.95974502941,1407.29676841501,1523.41066120755,1420.5053262726,1628.78626469274,1503.2708933114,1599.61830675129,1417.31497969822,1431.21616298601,1520.88583332933,1614.0588634415,1465.26330557438,1595.98290955288,1680.7109809633,1384.48487210068,1309.58404440764,1366.42777504759,1347.92758609191,1486.50460697985,1405.40345100398
