"","Toronto Raptors","Los Angeles Clippers","Charlotte Hornets","Indiana Pacers","Orlando Magic","Brooklyn Nets","Miami Heat","Philadelphia 76ers","Dallas Mavericks","San Antonio Spurs","Utah Jazz","Phoenix Suns","Portland Trail Blazers","Detroit Pistons","Houston Rockets","Golden State Warriors","Boston Celtics","Memphis Grizzlies","New Orleans Pelicans","Oklahoma City Thunder","Denver Nuggets","Sacramento Kings","Los Angeles Lakers","Milwaukee Bucks","Atlanta Hawks","New York Knicks","Chicago Bulls","Cleveland Cavaliers","Minnesota Timberwolves","Washington Wizards"
"1",1510,1510.28774368332,1510,1510,1490,1490,1510,1490,1490,1510,1490,1490,1510,1490,1490,1490,1510,1510,1490,1510,1510,1510,1510,1490,1510,1490,1510.28774368332,1510,1490,1490
"2",1500,1520.00826157489,1520,1499.42498872215,1480,1500.57501127785,1500,1480.57501127785,1480,1520,1500.57501127785,1480.57501127785,1499.71225631668,1500,1500,1500,1499.71225631668,1499.42498872215,1480,1519.42498872215,1499.70398144396,1500,1499.42498872215,1500.30427933278,1519.42498872215,1500.57501127785,1519.97519029989,1520,1480.28774368332,1480.27120645886
"3",1509.99147990313,1528.61073989683,1509.41673457138,1489.73754210559,1471.14623267525,1490.27073194506,1490.82857418126,1470.30369581772,1470.57501127785,1528.85376732475,1490.85449338628,1471.13352556695,1510.00827487272,1510.00875786096,1509.42498872215,1509.44148571089,1510.2955217453,1509.15378226329,1471.14623267525,1528.84997744431,1489.71250154083,1509.71225631668,1490,1490.29552147182,1529.14550661372,1490.84646962263,1529.12230434056,1528.85376732475,1491.11666863387,1471.12454430015
"4",1519.13814206184,1518.61762570587,1518.29570260247,1499.74509624959,1481.41754813537,1481.12361790439,1501.09225011627,1461.42472778663,1461.48285719449,1538.02519314349,1502.20389426412,1462.53104724501,1499.99196138375,1519.73729951617,1499.98361175245,1519.45779919986,1520.83687035304,1498.32485731275,1461.69683608685,1538.84309163527,1499.75291649849,1499.99173842511,1479.992445856,1499.74491806023,1517.74013144319,1481.10939710024,1518.58095573282,1538.29514429445,1481.0762536762,1482.45825531341
"5",1528.61920611567,1528.29126044052,1527.54688880235,1489.74509112089,1491.65669835831,1492.23045556514,1491.61118606244,1453.8606376886,1452.27086428507,1526.67579226565,1511.29604834748,1473.60510014749,1488.91790848127,1508.63046185543,1509.72068427485,1530.01517449478,1511.33893737484,1507.27450650744,1452.74718689215,1528.28571634035,1490.00837720038,1489.72806249011,1491.39782102653,1509.74492318893,1506.40642042993,1492.1837528406,1507.50659999246,1547.79307727266,1472.42674990836,1472.72294594526
"6",1516.95784445543,1538.51981426026,1536.76300150785,1500.25586356159,1501.39200772647,1482.97926936526,1482.90836648958,1445.50355512893,1464.16477775281,1536.23341656237,1501.73842405076,1483.00548132871,1498.12990139069,1518.37500115355,1499.62529498665,1518.90823244436,1500.72576470988,1497.6008717728,1443.34680571093,1536.9352201082,1500.62154986534,1479.48891226716,1502.50476307694,1518.87627989407,1516.50180971812,1482.45868907817,1496.99582755175,1555.35716737069,1462.73038247259,1463.49571401083
"7",1527.78145692309,1547.94064880713,1546.27574530326,1491.03975085609,1491.26548224211,1492.67563680102,1473.33417759397,1436.8067388311,1475.53137362234,1526.00486274263,1511.46348781319,1473.56612724725,1508.11467470606,1508.95416660668,1508.85252692108,1526.76705232653,1489.65828040561,1487.61609845743,1435.48798582877,1545.63803968106,1490.24739762217,1470.35755556203,1511.9441171584,1506.98236642632,1527.61551762723,1492.75267173596,1507.12235303612,1544.24345946157,1473.54984694351,1474.56319831509
"8",1538.31326313213,1557.05598028303,1535.74393909422,1499.73656715392,1480.44601777119,1482.38165414323,1464.65376996802,1448.59845409884,1466.99545728242,1515.51157951741,1519.82057037287,1464.55724976935,1517.12355218395,1497.68323076475,1519.3458101463,1535.30296866645,1499.7473417926,1497.99025070059,1426.81930351764,1534.8144272134,1481.53698032318,1482.01891722227,1500.57752128887,1494.71517746591,1537.02636002769,1482.66361034897,1497.71151063566,1552.26436428083,1466.16088179306,1466.54229349583
"9",1546.72509580991,1566.41668997774,1526.21907711759,1487.94485188619,1471.30339952266,1492.19305252336,1456.64674846368,1441.09004434628,1457.20428060995,1524.99888830815,1510.30782657745,1475.82818561127,1508.00822070806,1488.19592197401,1509.50850445807,1544.01338596544,1509.40776943609,1487.89598930741,1439.08649247805,1525.45371751868,1471.72861660613,1490.68759953341,1510.29294331762,1504.8094388591,1544.53476978024,1474.25177767119,1507.28569953126,1561.78922625746,1477.64960431811,1457.70963678336
"10",1537.15840484265,1573.80565512819,1534.83017107664,1478.2844242427,1482.84947240301,1484.49978043513,1449.12375862211,1433.03421952069,1448.35015050328,1534.83619399638,1519.45044482598,1466.01678723114,1517.23162770839,1498.00428569106,1517.56432928367,1551.80543064713,1497.19150852231,1499.04889255451,1431.10775744606,1513.90764463834,1463.0308613872,1480.97217750466,1518.27167834961,1496.16103310234,1552.05775962181,1484.04295434366,1516.11835624374,1571.35591722472,1469.03851035906,1447.0006129034
